condition,seed,target,round_pair,round_to,jaccard
baseline,103,S5,3-4,4,1.0
baseline,103,S5,4-5,5,1.0
baseline,103,S5,5-6,6,1.0
baseline,103,S5,6-7,7,1.0
baseline,103,S5,7-8,8,0.625
baseline,103,S6,1-2,2,0.25
baseline,103,S6,2-3,3,1.0
baseline,103,S6,3-4,4,1.0
baseline,103,S6,4-5,5,1.0
baseline,103,S6,5-6,6,1.0
baseline,103,S6,6-7,7,1.0
baseline,103,S6,7-8,8,1.0
baseline,103,S7,1-2,2,1.0
baseline,103,S7,2-3,3,0.5714285714285714
baseline,103,S7,3-4,4,0.6666666666666666
baseline,103,S7,4-5,5,1.0
baseline,103,S7,5-6,6,1.0
baseline,103,S7,6-7,7,1.0
baseline,103,S7,7-8,8,1.0
baseline,103,S8,1-2,2,0.6
baseline,103,S8,2-3,3,0.125
baseline,103,S8,3-4,4,1.0
baseline,103,S8,4-5,5,1.0
baseline,103,S8,5-6,6,1.0
baseline,103,S8,6-7,7,1.0
baseline,103,S8,7-8,8,1.0
covert,201,S1,1-2,2,1.0
covert,201,S1,2-3,3,1.0
covert,201,S1,3-4,4,0.5714285714285714
covert,201,S1,4-5,5,1.0
covert,201,S1,5-6,6,1.0
covert,201,S1,6-7,7,1.0
covert,201,S1,7-8,8,0.5384615384615384
covert,201,S2,1-2,2,0.7142857142857143
covert,201,S2,2-3,3,1.0
covert,201,S2,3-4,4,0.7142857142857143
covert,201,S2,4-5,5,1.0
covert,201,S2,5-6,6,1.0
covert,201,S2,6-7,7,1.0
covert,201,S2,7-8,8,0.7
covert,201,S3,1-2,2,0.8571428571428571
covert,201,S3,2-3,3,1.0
covert,201,S3,3-4,4,0.6666666666666666
covert,201,S3,4-5,5,0.8181818181818182
covert,201,S3,5-6,6,1.0
covert,201,S3,6-7,7,1.0
covert,201,S3,7-8,8,0.7857142857142857
covert,201,S4,1-2,2,0.2857142857142857
covert,201,S4,2-3,3,0.5714285714285714
covert,201,S4,3-4,4,0.7
covert,201,S4,4-5,5,1.0
covert,201,S4,5-6,6,1.0
covert,201,S4,6-7,7,1.0
covert,201,S4,7-8,8,1.0
covert,201,S5,1-2,2,1.0
covert,201,S5,2-3,3,1.0
covert,201,S5,3-4,4,0.8333333333333334
covert,201,S5,4-5,5,1.0
covert,201,S5,5-6,6,1.0
covert,201,S5,6-7,7,1.0
covert,201,S5,7-8,8,0.75
covert,201,S6,1-2,2,0.5
covert,201,S6,2-3,3,1.0
covert,201,S6,3-4,4,0.5
covert,201,S6,4-5,5,1.0
covert,201,S6,5-6,6,1.0
covert,201,S6,6-7,7,1.0
covert,201,S6,7-8,8,0.5
covert,201,S7,1-2,2,1.0
covert,201,S7,2-3,3,1.0
covert,201,S7,3-4,4,1.0
covert,201,S7,4-5,5,0.75
covert,201,S7,5-6,6,1.0
covert,201,S7,6-7,7,1.0
covert,201,S7,7-8,8,0.6666666666666666
covert,201,S8,1-2,2,1.0
covert,201,S8,2-3,3,1.0
covert,201,S8,3-4,4,0.5
covert,201,S8,4-5,5,1.0
covert,201,S8,5-6,6,1.0
covert,201,S8,6-7,7,1.0
covert,201,S8,7-8,8,0.6
covert,202,S1,1-2,2,0.6
covert,202,S1,2-3,3,0.42857142857142855
covert,202,S1,3-4,4,0.8333333333333334
covert,202,S1,4-5,5,0.8333333333333334
covert,202,S1,5-6,6,0.75
covert,202,S1,6-7,7,0.5
covert,202,S1,7-8,8,0.875
covert,202,S2,1-2,2,0.6666666666666666
covert,202,S2,2-3,3,0.8333333333333334
covert,202,S2,3-4,4,0.5555555555555556
covert,202,S2,4-5,5,0.8
covert,202,S2,5-6,6,0.9090909090909091
covert,202,S2,6-7,7,1.0
covert,202,S2,7-8,8,0.9166666666666666
covert,202,S3,1-2,2,0.25
covert,202,S3,2-3,3,0.7142857142857143
covert,202,S3,3-4,4,0.6666666666666666
covert,202,S3,4-5,5,0.8181818181818182
covert,202,S3,5-6,6,0.7857142857142857
covert,202,S3,6-7,7,0.8666666666666667
covert,202,S3,7-8,8,0.8571428571428571
covert,202,S4,1-2,2,0.4
covert,202,S4,2-3,3,0.8
covert,202,S4,3-4,4,0.7142857142857143
covert,202,S4,4-5,5,0.875
covert,202,S4,5-6,6,0.8
covert,202,S4,6-7,7,0.6666666666666666
covert,202,S4,7-8,8,0.6666666666666666
covert,202,S5,1-2,2,0.4
covert,202,S5,2-3,3,0.75
covert,202,S5,3-4,4,0.42857142857142855
covert,202,S5,4-5,5,0.75
covert,202,S5,5-6,6,0.8888888888888888
covert,202,S5,6-7,7,0.9
covert,202,S5,7-8,8,0.75
covert,202,S6,1-2,2,0.6666666666666666
covert,202,S6,2-3,3,0.5714285714285714
covert,202,S6,3-4,4,0.8333333333333334
covert,202,S6,4-5,5,0.75
covert,202,S6,5-6,6,0.7
covert,202,S6,6-7,7,0.9
covert,202,S6,7-8,8,0.8333333333333334
covert,202,S7,1-2,2,0.6
covert,202,S7,2-3,3,1.0
covert,202,S7,3-4,4,1.0
covert,202,S7,4-5,5,0.7142857142857143
covert,202,S7,5-6,6,0.6666666666666666
covert,202,S7,6-7,7,0.8888888888888888
covert,202,S7,7-8,8,1.0
covert,202,S8,1-2,2,0.8
covert,202,S8,2-3,3,0.8
covert,202,S8,3-4,4,0.25
covert,202,S8,4-5,5,0.25
covert,202,S8,5-6,6,0.25
covert,202,S8,6-7,7,0.2
covert,202,S8,7-8,8,0.2
no_history,301,S1,1-2,2,0.0
no_history,301,S1,2-3,3,0.0
no_history,301,S1,3-4,4,0.0
no_history,301,S1,4-5,5,0.2222222222222222
no_history,301,S1,5-6,6,0.2
no_history,301,S2,1-2,2,0.1
no_history,301,S2,2-3,3,0.07692307692307693
no_history,301,S2,3-4,4,0.42857142857142855
no_history,301,S2,4-5,5,0.15384615384615385
no_history,301,S2,5-6,6,0.2222222222222222
no_history,301,S3,1-2,2,0.0
no_history,301,S3,2-3,3,0.0
no_history,301,S3,3-4,4,0.0
no_history,301,S3,4-5,5,0.0
no_history,301,S3,5-6,6,0.0
no_history,301,S4,1-2,2,0.25
no_history,301,S4,2-3,3,0.14285714285714285
no_history,301,S4,3-4,4,0.0
no_history,301,S4,4-5,5,0.15384615384615385
no_history,301,S4,5-6,6,0.0
no_history,301,S5,1-2,2,0.125
no_history,301,S5,2-3,3,0.0
no_history,301,S5,3-4,4,0.2222222222222222
no_history,301,S5,4-5,5,0.23076923076923078
no_history,301,S5,5-6,6,0.05555555555555555
no_history,301,S6,1-2,2,0.0
no_history,301,S6,2-3,3,0.0
no_history,301,S6,3-4,4,0.14285714285714285
no_history,301,S6,4-5,5,0.14285714285714285
no_history,301,S6,5-6,6,0.0
no_history,301,S7,1-2,2,0.0
no_history,301,S7,2-3,3,0.0
no_history,301,S7,3-4,4,0.0
no_history,301,S7,4-5,5,0.25
no_history,301,S7,5-6,6,0.0
no_history,301,S8,1-2,2,0.0
